x LHS_beta=90.000 LHS_beta=900.000 LHS_beta=9000.000 LHS_beta=90000.000 LHS_beta=900000.000 LHS_beta=9000000.000 RHS_beta=90.000 RHS_beta=900.000 RHS_beta=9000.000 RHS_beta=90000.000 RHS_beta=900000.000 RHS_beta=9000000.000
1.004312708589918426e-05 6.570591322573253174e+11 6.570547035417889648e+12 6.566121934798803906e+13 6.157000943919166250e+14 1.453516284607103750e+15 1.453861423776220500e+15 2.198731591122141399e+05 2.198672312023052573e+08 2.192754678148644409e+11 1.690818546745207500e+14 2.309071760571487891e+13 0.000000000000000000e+00
1.002218208676279380e-05 6.724817423224449463e+11 6.724772285412400391e+12 6.720262173220407812e+13 6.303150461197127500e+14 1.490735696445287000e+15 1.491096410153751000e+15 2.198997665777315851e+05 2.198938626526318491e+08 2.193044893299897461e+11 1.692810520901907812e+14 2.358193264792098438e+13 0.000000000000000000e+00
1.000123708762640333e-05 6.879212730259713135e+11 6.879166748919233398e+12 6.874572336857106250e+13 6.449531000374498750e+14 1.528148147671607500e+15 1.528524951341040500e+15 2.199231539126449497e+05 2.199172740128530860e+08 2.193302948413283386e+11 1.694776774415780625e+14 2.408334550282935938e+13 0.000000000000000000e+00
9.980292088490012867e-06 7.033755752788403320e+11 7.033708935177864258e+12 7.029030947958572656e+13 6.596122360748852500e+14 1.565750057719393000e+15 1.566143480756931500e+15 2.199432987423783052e+05 2.199374429078894556e+08 2.193528619234976196e+11 1.696717044696017812e+14 2.459516038315971484e+13 0.000000000000000000e+00
9.959347089353622401e-06 7.188424727528769531e+11 7.188377081036002930e+12 7.183616256317603125e+13 6.742904064490223750e+14 1.603537754935313000e+15 1.603948341039042250e+15 2.199601787917881738e+05 2.199543470620856285e+08 2.193721682497294617e+11 1.698631069297872188e+14 2.511758538140558594e+13 0.000000000000000000e+00
9.938402090217231935e-06 7.343197622079298096e+11 7.343149154220902344e+12 7.338306242536723438e+13 6.889855359457738750e+14 1.641507476349727500e+15 1.641935783818641000e+15 2.199737718896601873e+05 2.199679643037073612e+08 2.193881915963652039e+11 1.700518585964579062e+14 2.565083253812435938e+13 0.000000000000000000e+00
9.917457091080841470e-06 7.498052138359608154e+11 7.498002856780192383e+12 7.493078621464315625e+13 7.036955222181887500e+14 1.679655367482173500e+15 1.680101969530654500e+15 2.199840559732415422e+05 2.199782725694736838e+08 2.194009098473878174e+11 1.702379332669789688e+14 2.619511791116078516e+13 0.000000000000000000e+00
9.896512091944452698e-06 7.652965716222047119e+11 7.652915628693451172e+12 7.647910845801412500e+13 7.184182361013845000e+14 1.717977482182781750e+15 1.718442967259600500e+15 2.199910090928073041e+05 2.199852499091239274e+08 2.194103009989871521e+11 1.704213047660505312e+14 2.675066164614612500e+13 0.000000000000000000e+00
9.875567092808062232e-06 7.807915537235374756e+11 7.807864651655808594e+12 7.802780109880548438e+13 7.331515219443332500e+14 1.756469782510457250e+15 1.756954754622276750e+15 2.199946094162612862e+05 2.199888744900172651e+08 2.194163431641601257e+11 1.706019469500510312e+14 2.731768804787351172e+13 0.000000000000000000e+00
9.854622093671671767e-06 7.962878528641171875e+11 7.962826853034333008e+12 7.957663353617309375e+13 7.478931979585968750e+14 1.795128138648529500e+15 1.795633217687907750e+15 2.199948352337683900e+05 2.199891246017662585e+08 2.194190145773428345e+11 1.707798337114292500e+14 2.789642565296286328e+13 0.000000000000000000e+00
