x	denom	arg(denom)
 (1.008581+0.000000j)	 (1.727068-0.000004j)	 (-0.000002+0.000000j)
 (-467.130337+0.000000j)	 (0.000007+467.126056j)	 (1.570796+0.000000j)
 (-1.008581+0.000000j)	 (1.727068+0.000004j)	 (0.000002+0.000000j)
 (77.597680+0.000000j)	 (0.000007-77.571901j)	 (-1.570796+0.000000j)
 (1.052221+0.000000j)	 (1.700832-0.000004j)	 (-0.000003+0.000000j)
 (-77.597680+0.000000j)	 (0.000007+77.571901j)	 (1.570796+0.000000j)
 (-1.052221+0.000000j)	 (1.700832+0.000004j)	 (0.000003+0.000000j)
 (28.599903+0.000000j)	 (0.000007-28.529887j)	 (-1.570796+0.000000j)
 (1.144928+0.000000j)	 (1.639860-0.000005j)	 (-0.000003+0.000000j)
 (-28.599903+0.000000j)	 (0.000007+28.529887j)	 (1.570796+0.000000j)
 (-1.144928+0.000000j)	 (1.639860+0.000005j)	 (0.000003+0.000000j)
 (14.475755+0.000000j)	 (0.000007-14.336927j)	 (-1.570796+0.000000j)
 (1.296829+0.000000j)	 (1.522575-0.000006j)	 (-0.000004+0.000000j)
 (-14.475755+0.000000j)	 (0.000007+14.336927j)	 (1.570796+0.000000j)
 (-1.296829+0.000000j)	 (1.522575+0.000006j)	 (0.000004+0.000000j)
 (8.663872+0.000000j)	 (0.000007-8.429868j)	 (-1.570795+0.000000j)
 (1.521929+0.000000j)	 (1.297587-0.000008j)	 (-0.000006+0.000000j)
 (-8.663872+0.000000j)	 (0.000007+8.429868j)	 (1.570795+0.000000j)
 (-1.521929+0.000000j)	 (1.297587+0.000008j)	 (0.000006+0.000000j)
 (5.732252+0.000000j)	 (0.000007-5.372030j)	 (-1.570795+0.000000j)
 (1.845264+0.000000j)	 (0.771364-0.000017j)	 (-0.000022+0.000000j)
 (-5.732252+0.000000j)	 (0.000007+5.372030j)	 (1.570795+0.000000j)
 (-1.845264+0.000000j)	 (0.771364+0.000017j)	 (0.000022+0.000000j)
 (4.049134+0.000000j)	 (0.000008-3.520723j)	 (-1.570794+0.000000j)
 (2.311848+0.000000j)	 (0.000014-1.159586j)	 (-1.570784+0.000000j)
 (-4.049134+0.000000j)	 (0.000008+3.520723j)	 (1.570794+0.000000j)
 (-2.311848+0.000000j)	 (0.000014+1.159586j)	 (1.570784+0.000000j)
 (0.333333+0.000000j)	 (1.972027-0.000001j)	 (-0.000001+0.000000j)
 (-0.333333+0.000000j)	 (1.972027+0.000001j)	 (0.000001+0.000000j)
 (0.991492+0.000000j)	 (1.736935-0.000004j)	 (-0.000002+0.000000j)
 (0.002141+0.000000j)	 (1.999999-0.000000j)	 (-0.000000+0.000000j)
 (-0.991492+0.000000j)	 (1.736935+0.000004j)	 (0.000002+0.000000j)
 (-0.002141+0.000000j)	 (1.999999+0.000000j)	 (0.000000+0.000000j)
 (0.950371+0.000000j)	 (1.759771-0.000004j)	 (-0.000002+0.000000j)
 (0.012887+0.000000j)	 (1.999958-0.000000j)	 (-0.000000+0.000000j)
 (-0.950371+0.000000j)	 (1.759771+0.000004j)	 (0.000002+0.000000j)
 (-0.012887+0.000000j)	 (1.999958+0.000000j)	 (0.000000+0.000000j)
 (0.873417+0.000000j)	 (1.799206-0.000003j)	 (-0.000002+0.000000j)
