x	Re(denom)	Im(denom)	arg(denom)
-12.464503	0.421210	12.303187	1.536574

-4.690527	0.459153	4.247236	1.463108
4.690527	0.459153	-4.247236	-1.463108
-12.464503	0.421210	12.303187	1.536574
9.098268	0.426160	-8.876218	-1.522822
-4.690527	0.459153	4.247236	1.463108
5.623696	0.444641	-5.258403	-1.486439
9.098268	0.426160	-8.876218	-1.522822
-9.098268	0.426160	8.876218	1.522822
5.623696	0.444641	-5.258403	-1.486439
-5.623696	0.444641	5.258403	1.486439
-9.098268	0.426160	8.876218	1.522822
1.666667	1.296440	-0.534488	-0.391042
-5.623696	0.444641	5.258403	1.486439
-1.666667	1.296440	0.534488	0.391042
1.666667	1.296440	-0.534488	-0.391042
2.982983	0.552921	-2.243002	-1.329106
-1.666667	1.296440	0.534488	0.391042
1.004281	1.794002	-0.232742	-0.129013
2.982983	0.552921	-2.243002	-1.329106
-1.004281	1.794002	0.232742	0.129013
1.004281	1.794002	-0.232742	-0.129013
-2.982983	0.552921	2.243002	1.329106
2.900742	0.564742	-2.135505	-1.312261
-1.004281	1.794002	0.232742	0.129013
1.025774	1.782660	-0.239235	-0.133404
-2.900742	0.564742	2.135505	1.312261
2.900742	0.564742	-2.135505	-1.312261
-1.025774	1.782660	0.239235	0.133404
1.025774	1.782660	-0.239235	-0.133404
-2.900742	0.564742	2.135505	1.312261

1.069930	1.758437	-0.252971	-0.142881
-1.025774	1.782660	0.239235	0.133404
-2.746835	0.591904	1.929403	1.273130
2.746835	0.591904	-1.929403	-1.273130
1.069930	1.758437	-0.252971	-0.142881
2.542223	0.642849	-1.644170	-1.198084
-2.746835	0.591904	1.929403	1.273130
1.138162	1.718506	-0.275356	-0.158879
2.542223	0.642849	-1.644170	-1.198084
-2.542223	0.642849	1.644170	1.198084
1.138162	1.718506	-0.275356	-0.158879
-2.542223	0.642849	1.644170	1.198084
2.314121	0.733529	-1.311628	-1.060878
-1.138162	1.718506	0.275356	0.158879
1.230844	1.659217	-0.308419	-0.183785
2.314121	0.733529	-1.311628	-1.060878
-2.314121	0.733529	1.311628	1.060878
1.230844	1.659217	-0.308419	-0.183785
-1.230844	1.659217	0.308419	0.183785
-2.314121	0.733529	1.311628	1.060878

1.348903	1.574843	-0.356111	-0.222385
-1.230844	1.659217	0.308419	0.183785
-2.083856	0.886410	0.977406	0.834182
2.083856	0.886410	-0.977406	-0.834182
-1.348903	1.574843	0.356111	0.222385
1.348903	1.574843	-0.356111	-0.222385
1.865109	1.093935	-0.708850	-0.574955
-2.083856	0.886410	0.977406	0.834182
1.493933	1.456969	-0.426307	-0.284653
-1.348903	1.574843	0.356111	0.222385
-1.865109	1.093935	0.708850	0.574955

-1.493933	1.456969	0.426307	0.284653

0.600000	1.956810	-0.127481	-0.065055
-1.865109	1.093935	0.708850	0.574955
-0.600000	1.956810	0.127481	0.065055
-1.493933	1.456969	0.426307	0.284653
0.995737	1.798431	-0.230193	-0.127305
0.600000	1.956810	-0.127481	-0.065055
0.335235	2.016247	-0.069127	-0.034272
-0.600000	1.956810	0.127481	0.065055
-0.995737	1.798431	0.230193	0.127305
0.995737	1.798431	-0.230193	-0.127305
-0.335235	2.016247	0.069127	0.034272
0.335235	2.016247	-0.069127	-0.034272
0.974874	1.809053	-0.224047	-0.123220
-0.995737	1.798431	0.230193	0.127305
0.344739	2.014714	-0.071141	-0.035296
-0.335235	2.016247	0.069127	0.034272
-0.974874	1.809053	0.224047	0.123220
0.974874	1.809053	-0.224047	-0.123220
-0.344739	2.014714	0.071141	0.035296
0.344739	2.014714	-0.071141	-0.035296
-0.974874	1.809053	0.224047	0.123220
0.934640	1.828784	-0.212483	-0.115669
0.364055	2.011463	-0.075248	-0.037392
-0.934640	1.828784	0.212483	0.115669
